title,datePerformed,location,featured,videoLink
"You're On Your Own, Kid",2024-02-10,"Tokyo, Japan",-,-
Red,2024-02-16,"Melbourne, Australia",-,-
You're Losing Me,2024-02-16,"Melbourne, Australia",-,-
Getaway Car/August/The Other Side of the Door,2024-02-17,"Melbourne, Australia",-,-
this is me trying,2024-02-17,"Melbourne, Australia",-,-
Come Back...Be Here/Daylight,2024-02-18,"Melbourne, Australia",-,-
Teardrops On My Guitar,2024-02-18,"Melbourne, Australia",-,-
How You Get The Girl,2024-02-23,"Sydney, Australia",-,-
White Horse/Coney Island,2024-02-23,"Sydney, Australia","Sabrina Carpenter",-
Should've Said No/You're Not Sorry,2024-02-24,"Sydney, Australia",-,-
New Year's Day/Peace,2024-02-24,"Sydney, Australia",-,-
Is It Over Now?/I Wish You Would,2024-02-25,"Sydney, Australia",-,-
Haunted/Exile,2024-02-25,"Sydney, Australia",-,-
Would've Could've Should've/Ivy,2024-02-26,"Sydney, Australia",-,-
Forever & Always/Maroon,2024-02-26,"Sydney, Australia",-,-
Mine/Starlight,2024-03-02,"Singapore, SG",-,-
I Don't Wanna Live Forever/Dress,2024-03-02,"Singapore, SG",-,-
Long Story Short/The Story of Us,2024-03-03,"Singapore, SG",-,-
Clean/Evermore,2024-03-03,"Singapore, SG",-,-
Foolish One/Tell Me Why,2024-03-04,"Singapore, SG",-,-
This Love/Call It What You Want,2024-03-04,"Singapore, SG",-,-
Death By A Thousand Cuts/Babe,2024-03-07,"Singapore, SG",-,-
"Fifteen/You're On Your Own, Kid",2024-03-07,"Singapore, SG",-,-
Sparks Fly/Gold Rush,2024-03-08,"Singapore, SG",-,-
"False God/'Slut!'",2024-03-08,"Singapore, SG",-,-
Tim McGraw/Cowboy Like Me,2024-03-09,"Singapore, SG",-,-
Mirrorball/Epiphany,2024-03-09,"Singapore, SG",-,-
Paris,2024-05-09,"Paris, France",-,-
loml,2024-05-09,"Paris, France",-,-
Is It Over Now?/Out Of The Woods,2024-05-10,"Paris, France",-,-
My Boy Only Breaks His Favourite Toys,2024-05-10,"Paris, France",-,-
Hey Stephen,2024-05-11,"Paris, France",-,-
Maroon,2024-05-11,"Paris, France",-,-
The Alchemy/Treacherous,2024-05-12,"Paris, France",-,-
Begin Again/Paris,2024-05-12,"Paris, France",-,-
I Think He Knows/Gorgeous,2024-05-17,"Stockholm, Sweden",-,-
Peter,2024-05-17,"Stockholm, Sweden",-,-
Guilty As Sin?,2024-05-18,"Stockholm, Sweden",-,-
Say Don't Go/Welcome To New York/Clean,2024-05-18,"Stockholm, Sweden",-,-
Message In A Bottle/How You Get The Girl/New Romantics,2024-05-19,"Stockholm, Sweden",-,-
How Did It End?,2024-05-19,"Stockholm, Sweden",-,-
Come Back...Be Here/The Way I Loved You/The Other Side of the Door,2024-05-24,"Lisbon, Portugal",-,-
Fresh Out The Slammer/High Infidelity,2024-05-24,"Lisbon, Portugal",-,-
The Tortured Poets Department/Now That We Don't Talk,2024-05-25,"Lisbon, Portugal",-,-
